club,hour,avg_available_courts,avg_occupancy_pct,observations
Game4Padel Richmond,08:00,4.14,19.0,7
Game4Padel Richmond,09:00,7.67,0.0,6
Game4Padel Richmond,10:00,6.6,8.0,5
Game4Padel Richmond,11:00,6.4,8.0,5
Game4Padel Richmond,12:00,5.29,11.4,7
Game4Padel Richmond,13:00,5.57,17.1,7
Game4Padel Richmond,14:00,5.57,17.1,7
Game4Padel Richmond,15:00,4.6,16.0,5
Game4Padel Richmond,16:00,4,20.0,3
Game4Padel Richmond,17:00,5,26.7,3
Game4Padel Richmond,18:00,7.5,0.0,2
Game4Padel Richmond,19:00,3.67,0.0,3
Game4Padel Richmond,20:00,2.6,16.0,5
Game4Padel Richmond,21:00,2.33,54.4,3
